Extraction ID,Sample,Species,Locality,Fresh_Museum,DNA_concentration,Coverage (X),Coverage_priordupes,Coverage_postdupes,Raw_Reads,Retained_Reads,% retained,% of Library,Filtered out?,,,,,,,,,,,
ISB1,WP.GuamB1,T. bidentata,Guam,F,3.46,10.53,9.443,9.443,835992,123716,0.147987062,0.000825739,,,,,,,,,,,,
ISB5,WP.GuamB10,T. bidentata,Guam,F,23.6,12.28,11.397,11.397,1893368,413041,0.218151463,0.001870147,,,,,,,,,,,,
ISB8,WP.GuamB11,T. bidentata,Guam,F,31.8,12.56,11.637,11.637,1978864,473218,0.239136191,0.001954594,,,,,,,,,,,,
ISB9,WP.GuamB12,T. formosa,Guam,F,32.6,14.1,13.396,13.396,2312206,712370,0.308091061,0.002283848,,,,,,,,,,,,
R24,WP.GuamB13_R,T. rufopunctata,Guam,F,6.86,16.22,16.085,16.085,5920624,1944488,0.328426193,0.00584801,,,,,,,,,,,,
R29,WP.GuamB14_R,T. rufopunctata,Guam,F,28.6,17.74,16.434,16.434,7383406,1702051,0.230523826,0.007292851,,,,,,,,,,,,
ISB10,WP.GuamB2_L,T. lutea,Guam,F,28.6,14.39,13.75,13.75,6127780,2920148,0.476542565,0.006052625,,,,,,,,,,,,
ISB11,WP.GuamB3,T. lutea,Guam,F,6.52,15.1,14.481,14.481,6053566,3220754,0.532042436,0.005979321,,,,,,,,,,,,
ISB12,WP.GuamB4,T. bidentata,Guam,F,10.6,14.41,13.445,13.445,5699796,1480656,0.259773508,0.00562989,,,,,,,,,,,,
ISB13,WP.GuamB5,T. bidentata,Guam,F,12.8,13.57,12.838,12.838,4665628,1378948,0.295554639,0.004608406,,,,,,,,,,,,
ISB17,WP.GuamB6,T. lutea,Guam,F,59.4,16.77,15.873,15.873,5022694,2438336,0.485463777,0.004961093,,,,,,,,,,,,
ISB19,WP.GuamB7,T. bidentata,Guam,F,39.8,13.81,12.778,12.778,3479054,618486,0.177774188,0.003436385,,,,,,,,,,,,
ISB20,WP.GuamB8,T. bidentata,Guam,F,6.72,13.83,12.945,12.945,6075114,1844106,0.287113241,0.006000605,,,,,,,,,,,,
